split,bin,validation_uncertainty_lower,validation_uncertainty_upper,sample_count,mean_uncertainty,mean_ade,median_ade,mean_fde,median_fde
validation,D1,1.1567365048793568,1.2713425328296695,264,1.2382190590648314,6.317059009184165,5.706694405962388,10.108509443980354,9.228740242339736
validation,D2,1.2713425328296695,1.3113835067307178,263,1.2904876854495881,7.587051797830048,6.9070498300324745,12.963561082899904,11.747562549750944
validation,D3,1.3113835067307178,1.3578700513229964,264,1.3340080141737423,7.514207583487279,6.7317485005661615,13.200344228655808,11.531600582629665
validation,D4,1.3578700513229964,1.4166605299313555,263,1.385672611008977,8.403407003891452,7.467237266981611,15.36811117941015,13.17128878078397
validation,D5,1.4166605299313555,1.4731958924151716,264,1.444614126995273,9.61116831553005,8.702516018929934,17.555572864992865,15.31900674967426
validation,D6,1.4731958924151716,1.5244115666569225,263,1.4983225012437855,9.785989326067002,8.30492421746718,18.43959386609283,14.409940586053535
validation,D7,1.5244115666569225,1.5817724259998274,264,1.554560789079502,9.04896820576547,7.589470554918754,16.943596744980642,13.596796842809944
validation,D8,1.5817724259998274,1.6727539928363186,263,1.621361778380751,8.077951286907854,7.364851065899448,14.680973595107746,12.125311618693328
validation,D9,1.6727539928363186,1.9525146234711093,264,1.793914286023745,11.071770679848393,8.801350324991951,21.08648160696283,17.062797734484047
validation,D10,1.9525146234711093,4.788023744272672,264,2.6780821105358754,16.99877103990102,14.946203888370594,34.37665133470297,26.778118408772105
test,D1,1.1567365048793568,1.2713425328296695,1231,1.2392580284339243,7.054346740439699,6.006888694585316,12.514182961706284,10.799733433118954
test,D2,1.2713425328296695,1.3113835067307178,1145,1.2922310948019697,7.259994208079953,6.383538413748366,12.310525384982798,10.74485865713474
test,D3,1.3113835067307178,1.3578700513229964,1606,1.3346791479883902,7.361542458696126,6.298964610637155,12.768940146563224,10.73928809008552
test,D4,1.3578700513229964,1.4166605299313555,1839,1.3864804934443613,7.560977575955881,6.569355643163367,13.175271336216046,11.163416819155959
test,D5,1.4166605299313555,1.4731958924151716,1578,1.444098579820208,7.79205858068611,6.612845234253365,13.693751941034854,11.465904050907291
test,D6,1.4731958924151716,1.5244115666569225,1177,1.4976697038021198,8.61663354819553,7.4024993129410035,15.942379113443096,13.002506963623489
test,D7,1.5244115666569225,1.5817724259998274,1020,1.551197987936282,9.346636512361396,7.8967647877733125,17.517052608548248,14.40062175507143
test,D8,1.5817724259998274,1.6727539928363186,1217,1.6251341920065199,9.744583771177044,8.18154386409775,18.650438844605837,14.801955180135055
test,D9,1.6727539928363186,1.9525146234711093,2471,1.7951728675810537,10.84034228773276,9.539760416689129,20.561307791653338,17.327989712765625
test,D10,1.9525146234711093,4.788023744272672,5047,2.7970677779783957,15.579162085774932,12.735704308492021,28.60130983043041,22.613105326357687
